TrapID,CircleFK,Substrate
DF-1p,DF-1,
DF-2p,DF-2,
DF-3p,DF-3,
DF-4p,DF-4,
DF-5p,DF-5,
ERSP-1p,ERSP-1,
ERSP-2p,ERSP-2,
ERSP-3p,ERSP-3,
ERSP-4p,ERSP-4,
ERSP-6p,ERSP-6,
JMNP-1p,JMNP-1,
JMNP-2p,JMNP-2,
JMNP-3p,JMNP-3,
JMNP-5p,JMNP-5,
JMNP-8p,JMNP-8,
NCBG-1p,NCBG-1,
NCBG-4p,NCBG-4,
NCBG-5p,NCBG-5,
NCBG-6p,NCBG-6,
NCBG-8p,NCBG-8,
NCSU-2p,NCSU-2,
NCSU-3p,NCSU-3,
NCSU-9p,NCSU-9,
NCSU-10p,NCSU-10,
NCSU-11p,NCSU-11,
PR-2p,PR-2,
PR-4p,PR-4,
PR-8p,PR-8,
PR-9p,PR-9,
PR-11p,PR-11,
UNC-3p,UNC-3,
UNC-4p,UNC-4,
UNC-8p,UNC-8,
UNC-13p,UNC-13,
UNC-14p,UNC-14,
